BluetoothTracker-0 is close to door 2 at location 53.3762186822289, -6.52740644601692 -- 53.376277685, -6.527380943 dat 2025-02-14 09:35:55.893182
BluetoothTracker-0 is close to door 2 at location 53.376309694244796, -6.5274425876931375 -- 53.376277685, -6.527380943 dat 2025-02-14 11:25:15.567406
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:25:15.567406'}
BluetoothTracker-0 is close to door 2 at location 53.37622075205771, -6.527407267964242 -- 53.376277685, -6.527380943 dat 2025-02-14 11:25:35.738671
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:25:35.738671'}
BluetoothTracker-0 is close to door 3 at location 53.37731761392018, -6.526662673567283 -- 53.377347103, -6.526683569 dat 2025-02-14 11:26:29.275648
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:26:29.277662'}
BluetoothTracker-0 is close to door 3 at location 53.377316428781974, -6.526688009692911 -- 53.377347103, -6.526683569 dat 2025-02-14 11:27:03.561192
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:27:03.561192'}
BluetoothTracker-0 is close to door 2 at location 53.376304229201864, -6.527440417476269 -- 53.376277685, -6.527380943 dat 2025-02-14 11:27:55.971290
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:27:55.971290'}
BluetoothTracker-0 is close to door 2 at location 53.37621821146835, -6.52740625907374 -- 53.376277685, -6.527380943 dat 2025-02-14 11:28:16.084765
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:28:16.084765'}
BluetoothTracker-0 is close to door 3 at location 53.377318271752586, -6.526648610292177 -- 53.377347103, -6.526683569 dat 2025-02-14 11:29:09.422283
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:29:09.422283'}
BluetoothTracker-0 is close to door 3 at location 53.37731580140739, -6.526701421834398 -- 53.377347103, -6.526683569 dat 2025-02-14 11:29:43.720556
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:29:43.720556'}
BluetoothTracker-0 is close to door 2 at location 53.37626841321737, -6.527426194632149 -- 53.376277685, -6.527380943 dat 2025-02-14 11:30:37.038063
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:30:37.038063'}
BluetoothTracker-0 is close to door 2 at location 53.376219120733246, -6.527406620150871 -- 53.376277685, -6.527380943 dat 2025-02-14 11:30:56.199363
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:30:56.199363'}
BluetoothTracker-0 is close to door 3 at location 53.37731838784614, -6.526646128420618 -- 53.377347103, -6.526683569 dat 2025-02-14 11:31:49.476960
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:31:49.476960'}
BluetoothTracker-0 is close to door 3 at location 53.377315414465464, -6.526709693957666 -- 53.377347103, -6.526683569 dat 2025-02-14 11:32:23.672736
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:32:23.672736'}
BluetoothTracker-0 is close to door 2 at location 53.37627805025027, -6.5274300215831245 -- 53.376277685, -6.527380943 dat 2025-02-14 11:33:16.953783
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:33:16.953783'}
BluetoothTracker-0 is close to door 2 at location 53.37621823736722, -6.527406269358412 -- 53.376277685, -6.527380943 dat 2025-02-14 11:33:37.067937
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:33:37.067937'}
BluetoothTracker-0 is close to door 3 at location 53.37731826699026, -6.526648712102127 -- 53.377347103, -6.526683569 dat 2025-02-14 11:34:30.404734
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:34:30.404734'}
BluetoothTracker-0 is close to door 3 at location 53.37731554869923, -6.52670682428089 -- 53.377347103, -6.526683569 dat 2025-02-14 11:35:04.606783
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:35:04.606783'}
BluetoothTracker-0 is close to door 2 at location 53.37627346213989, -6.527428199603924 -- 53.376277685, -6.527380943 dat 2025-02-14 11:35:57.923870
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:35:57.923870'}
BluetoothTracker-0 is close to door 2 at location 53.37621820352484, -6.5274062559193045 -- 53.376277685, -6.527380943 dat 2025-02-14 11:36:18.034857
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:36:18.034857'}
BluetoothTracker-0 is close to door 3 at location 53.37731820246634, -6.526650091507623 -- 53.377347103, -6.526683569 dat 2025-02-14 11:37:11.398418
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:37:11.398418'}
BluetoothTracker-0 is close to door 3 at location 53.37731563545967, -6.526704969498617 -- 53.377347103, -6.526683569 dat 2025-02-14 11:37:45.608778
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:37:45.608778'}
BluetoothTracker-0 is close to door 2 at location 53.37627282319527, -6.5274279458733675 -- 53.376277685, -6.527380943 dat 2025-02-14 11:38:38.905445
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:38:38.905445'}
BluetoothTracker-0 is close to door 2 at location 53.37621865900747, -6.527406436795485 -- 53.376277685, -6.527380943 dat 2025-02-14 11:38:59.019298
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:38:59.019298'}
BluetoothTracker-0 is close to door 3 at location 53.37731837954636, -6.526646305854972 -- 53.377347103, -6.526683569 dat 2025-02-14 11:39:52.309314
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:39:52.309914'}
BluetoothTracker-0 is close to door 3 at location 53.37731556175304, -6.526706545213882 -- 53.377347103, -6.526683569 dat 2025-02-14 11:40:26.557115
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:40:26.559126'}
BluetoothTracker-0 is close to door 2 at location 53.37627077846591, -6.527427133893258 -- 53.376277685, -6.527380943 dat 2025-02-14 11:41:19.920560
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:41:19.920560'}
BluetoothTracker-0 is close to door 2 at location 53.37621772234636, -6.527406064839076 -- 53.376277685, -6.527380943 dat 2025-02-14 11:41:39.023631
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:41:39.024558'}
BluetoothTracker-0 is close to door 3 at location 53.377318077987525, -6.52665275264107 -- 53.377347103, -6.526683569 dat 2025-02-14 11:42:32.443933
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:42:32.443933'}
BluetoothTracker-0 is close to door 3 at location 53.377316222666764, -6.52669241606576 -- 53.377347103, -6.526683569 dat 2025-02-14 11:43:06.826229
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:43:06.826229'}
BluetoothTracker-0 is close to door 2 at location 53.37629756688486, -6.52743777181128 -- 53.376277685, -6.527380943 dat 2025-02-14 11:43:59.438117
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:43:59.438117'}
BluetoothTracker-0 is close to door 2 at location 53.376222389574565, -6.527407918236663 -- 53.376277685, -6.527380943 dat 2025-02-14 11:44:19.700608
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:44:19.702510'}
BluetoothTracker-0 is close to door 3 at location 53.37731962034921, -6.526619779718996 -- 53.377347103, -6.526683569 dat 2025-02-14 11:45:12.452718
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:45:12.452718'}
BluetoothTracker-0 is close to door 3 at location 53.377314867712926, -6.526721382544656 -- 53.377347103, -6.526683569 dat 2025-02-14 11:45:46.908069
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:45:46.908069'}
BluetoothTracker-0 is close to door 2 at location 53.37627273530914, -6.527427910973008 -- 53.376277685, -6.527380943 dat 2025-02-14 11:46:40.492033
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:46:40.493613'}
BluetoothTracker-0 is close to door 2 at location 53.376221738257875, -6.527407659593046 -- 53.376277685, -6.527380943 dat 2025-02-14 11:47:00.688573
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:47:00.688573'}
BluetoothTracker-0 is close to door 3 at location 53.37731727929811, -6.52666982718584 -- 53.377347103, -6.526683569 dat 2025-02-14 11:47:54.330730
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:47:54.330730'}
BluetoothTracker-0 is close to door 3 at location 53.37731436633549, -6.526732101093527 -- 53.377347103, -6.526683569 dat 2025-02-14 11:48:27.724536
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:48:27.724536'}
BluetoothTracker-0 is close to door 2 at location 53.37627582233809, -6.527429136859497 -- 53.376277685, -6.527380943 dat 2025-02-14 11:49:21.436397
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:49:21.436397'}
BluetoothTracker-0 is close to door 2 at location 53.37622104543447, -6.527407384466744 -- 53.376277685, -6.527380943 dat 2025-02-14 11:49:40.684940
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:49:40.684940'}
BluetoothTracker-0 is close to door 3 at location 53.37731715435168, -6.526672498316165 -- 53.377347103, -6.526683569 dat 2025-02-14 11:50:34.384147
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:50:34.384147'}
BluetoothTracker-0 is close to door 3 at location 53.377314607207694, -6.526726951678517 -- 53.377347103, -6.526683569 dat 2025-02-14 11:51:07.820254
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:51:07.820254'}
BluetoothTracker-0 is close to door 2 at location 53.37627304278371, -6.527428033073877 -- 53.376277685, -6.527380943 dat 2025-02-14 11:52:01.496879
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:52:01.496879'}
BluetoothTracker-0 is close to door 2 at location 53.376221248425296, -6.527407465076196 -- 53.376277685, -6.527380943 dat 2025-02-14 11:52:20.711151
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:52:20.711151'}
BluetoothTracker-0 is close to door 3 at location 53.37731718414603, -6.526671861366383 -- 53.377347103, -6.526683569 dat 2025-02-14 11:53:14.397088
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:53:14.400139'}
BluetoothTracker-0 is close to door 3 at location 53.37731463110799, -6.526726440733039 -- 53.377347103, -6.526683569 dat 2025-02-14 11:53:47.852763
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:53:47.852763'}
BluetoothTracker-0 is close to door 2 at location 53.37627087542489, -6.5274271723965285 -- 53.376277685, -6.527380943 dat 2025-02-14 11:54:41.559354
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:54:41.559354'}
BluetoothTracker-0 is close to door 2 at location 53.37622130230408, -6.527407486471941 -- 53.376277685, -6.527380943 dat 2025-02-14 11:55:00.744166
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:55:00.744166'}
BluetoothTracker-0 is close to door 3 at location 53.37731744118207, -6.5266663663976265 -- 53.377347103, -6.526683569 dat 2025-02-14 11:55:54.331666
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:55:54.331666'}
BluetoothTracker-0 is close to door 3 at location 53.37731419025004, -6.52673586548406 -- 53.377347103, -6.526683569 dat 2025-02-14 11:56:27.721069
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:56:27.721069'}
BluetoothTracker-0 is close to door 2 at location 53.37628130290004, -6.527431313239106 -- 53.376277685, -6.527380943 dat 2025-02-14 11:57:21.395923
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:57:21.397752'}
BluetoothTracker-0 is close to door 2 at location 53.376221226688514, -6.527407456444328 -- 53.376277685, -6.527380943 dat 2025-02-14 11:57:41.646981
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:57:41.646981'}
BluetoothTracker-0 is close to door 3 at location 53.37731737056824, -6.526667875994386 -- 53.377347103, -6.526683569 dat 2025-02-14 11:58:35.262395
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:58:35.262395'}
BluetoothTracker-0 is close to door 3 at location 53.37731421170634, -6.526735406786931 -- 53.377347103, -6.526683569 dat 2025-02-14 11:59:08.631812
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:59:08.631812'}
BluetoothTracker-0 is close to door 2 at location 53.376282211403584, -6.527431674013895 -- 53.376277685, -6.527380943 dat 2025-02-14 12:00:02.282128
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:00:02.282128'}
BluetoothTracker-0 is close to door 2 at location 53.376222936382135, -6.527408135378782 -- 53.376277685, -6.527380943 dat 2025-02-14 12:00:22.578648
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:00:22.578648'}
BluetoothTracker-0 is close to door 3 at location 53.37731710973255, -6.526673452192891 -- 53.377347103, -6.526683569 dat 2025-02-14 12:01:16.261665
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:01:16.261665'}
BluetoothTracker-0 is close to door 3 at location 53.37731478179714, -6.526723219269811 -- 53.377347103, -6.526683569 dat 2025-02-14 12:01:49.746619
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:01:49.746619'}
BluetoothTracker-0 is close to door 2 at location 53.37627234437701, -6.5274277557304 -- 53.376277685, -6.527380943 dat 2025-02-14 12:02:43.371466
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:02:43.371466'}
BluetoothTracker-0 is close to door 2 at location 53.37622048784099, -6.5274071630414445 -- 53.376277685, -6.527380943 dat 2025-02-14 12:03:02.609571
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:03:02.610712'}
BluetoothTracker-0 is close to door 3 at location 53.37731718916928, -6.526671753978365 -- 53.377347103, -6.526683569 dat 2025-02-14 12:03:56.306417
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:03:56.306417'}
BluetoothTracker-0 is close to door 3 at location 53.37731447065752, -6.526729870875981 -- 53.377347103, -6.526683569 dat 2025-02-14 12:04:29.703726
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:04:29.705737'}
BluetoothTracker-0 is close to door 2 at location 53.37627701581806, -6.527429610800946 -- 53.376277685, -6.527380943 dat 2025-02-14 12:05:23.355977
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:05:23.355977'}
BluetoothTracker-0 is close to door 2 at location 53.37622180727501, -6.527407687000361 -- 53.376277685, -6.527380943 dat 2025-02-14 12:05:43.615909
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:05:43.618981'}
BluetoothTracker-0 is close to door 3 at location 53.37731730511993, -6.526669275161787 -- 53.377347103, -6.526683569 dat 2025-02-14 12:06:37.249271
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:06:37.249271'}
BluetoothTracker-0 is close to door 3 at location 53.37731443038158, -6.526730731903123 -- 53.377347103, -6.526683569 dat 2025-02-14 12:07:10.674004
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:07:10.674004'}
BluetoothTracker-0 is close to door 2 at location 53.37628400147127, -6.527432384865601 -- 53.376277685, -6.527380943 dat 2025-02-14 12:08:04.208759
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:08:04.208759'}
BluetoothTracker-0 is close to door 2 at location 53.37622118642535, -6.527407440455469 -- 53.376277685, -6.527380943 dat 2025-02-14 12:08:24.451598
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:08:24.451598'}
BluetoothTracker-0 is close to door 3 at location 53.377317320411684, -6.526668948251603 -- 53.377347103, -6.526683569 dat 2025-02-14 12:09:18.087536
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:09:18.087536'}
BluetoothTracker-0 is close to door 3 at location 53.377314501477066, -6.5267292120094424 -- 53.377347103, -6.526683569 dat 2025-02-14 12:09:51.546650
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:09:51.546650'}
BluetoothTracker-0 is close to door 2 at location 53.37628062709299, -6.527431044870151 -- 53.376277685, -6.527380943 dat 2025-02-14 12:10:45.118292
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:10:45.118292'}
BluetoothTracker-0 is close to door 2 at location 53.376221251267694, -6.52740746620494 -- 53.376277685, -6.527380943 dat 2025-02-14 12:11:05.381763
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:11:05.381763'}
BluetoothTracker-0 is close to door 3 at location 53.377317371377806, -6.526667858687377 -- 53.377347103, -6.526683569 dat 2025-02-14 12:11:58.999271
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:11:58.999802'}
BluetoothTracker-0 is close to door 3 at location 53.37731433395423, -6.526732793346638 -- 53.377347103, -6.526683569 dat 2025-02-14 12:12:32.410005
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:12:32.410005'}
BluetoothTracker-0 is close to door 2 at location 53.376287287760384, -6.527433689880066 -- 53.376277685, -6.527380943 dat 2025-02-14 12:13:25.924101
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:13:25.924101'}
BluetoothTracker-0 is close to door 2 at location 53.37622128892956, -6.527407481160798 -- 53.376277685, -6.527380943 dat 2025-02-14 12:13:46.178333
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:13:46.178333'}
BluetoothTracker-0 is close to door 3 at location 53.37731732934112, -6.526668757356242 -- 53.377347103, -6.526683569 dat 2025-02-14 12:14:39.810230
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:14:39.810230'}
BluetoothTracker-0 is close to door 3 at location 53.37731431703251, -6.526733155102692 -- 53.377347103, -6.526683569 dat 2025-02-14 12:15:13.203164
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:15:13.203164'}
BluetoothTracker-0 is close to door 2 at location 53.37622068437296, -6.527407241086027 -- 53.376277685, -6.527380943 dat 2025-02-14 12:18:30.975062
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:18:30.975062'}
BluetoothTracker-0 is close to door 3 at location 53.37731710861486, -6.526673476087201 -- 53.377347103, -6.526683569 dat 2025-02-14 12:19:24.699903
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T12:19:24.699903'}
